source_system	content_item_id	content_item_name	content_item_type	interaction_type_name	count_choices	correct_answer	difficulty	discrimination	guess	parent_item_id	parent_item_name	last_modified	asvab-2021-taxonomy.general_science	bio_biochem	bio_biochem.biology	bio_biochem.biology.reproduction	chem_phys	client_systems	comlex-1-discipline-taxonomy	comlex-1-organ-system-taxonomy	comlex-clinical-presentation	comlex-discipline	comlex_l1	comlex_l2	content-pool-tag	difficulty-tag	habitat	inbde-discipline	interaction-type-tag	nrpe_section	pance-organ-systems	psych_soc	systems-taxonomy	test-usmle-step-1-disciplines-taxonomy	test-usmle-step-1-disciplines-taxonomy.biostatistics	test-usmle-step-1-disciplines-taxonomy.gross_anatomy	test-usmle-step-1-organ-systems-taxonomy	usmle-step-1-disciplines-taxonomy	usmle-step-1-organ-systems-taxonomy	usmle-step-2-subspeciality-taxonomy
Atom	c1394ad6-94cd-48b0-86f6-d2636df49660	1133_10	question	choice-interaction	5	5				1fee0f78-4530-4c32-9d84-83c215da997a	cs168seq	2019-12-07 12:39:05							behavioral_sciences	general_principles			comlex_l1		comlex_l1_qbank	hard	habitat		choice-interaction		general_principles	behavioral_sciences					general_principles	behavioral_sciences	general_principles	general_principles
Atom	00deba88-d798-44af-8652-943ad375e4d4	c20020_10	question	choice-interaction	5	5				b1ff9165-6f97-4af5-9b4b-d36b48031c81	c20020_10	2022-02-03 18:19:46							microbiology	skin_connective_tissue			comlex_l1		comlex_l1_qbank	medium	habitat	microbiology	choice-interaction					microbiology			skin_connective_tissue	microbiology	skin_connective_tissue	
Atom	6b7c64bc-71e8-41cf-86cc-5e2b4a6a2259	c20022m	question	choice-interaction	5	3				27532a48-7f48-4ff3-a14b-32cf1348c546	c20022m	2022-02-03 18:17:30			endocrine_system			endocrine_system	pharmacology	endocrine_system			comlex_l1		comlex_l1_qbank	hard	habitat	pharmacology	choice-interaction				endocrine_system	pharmacology			endocrine_system	pharmacology	endocrine_system	endocrine_system
Atom	d3878311-be01-4857-9375-2bf7b5d9da2a	c20024m_10	question	choice-interaction	5	1				bb513af6-46c4-4904-a3ea-2ffbc8fb685f	c20024m_10	2022-02-03 18:18:35			cardiovascular_system			cardiovascular_system	pharmacology	cardiovascular_system			comlex_l1		comlex_l1_qbank	hard	habitat	pharmacology	choice-interaction				cardiovascular_system	pharmacology			cardiovascular_system	pharmacology	cardiovascular_system	cardiovascular_system
Atom	9131312b-eaf0-4bc0-9a56-3b0952d60eb1	c20025m2	question	choice-interaction	5	1				74e31574-f59e-416a-ac86-285de03c1e03	c20025m2	2022-02-03 18:17:00							pharmacology	renal_urinary			comlex_l1		comlex_l1_qbank	medium	habitat	pharmacology	choice-interaction					pharmacology			renal_urinary	pharmacology	renal_urinary	renal_urinary
Atom	d6c9db0e-1fda-4194-b839-bbfe378608a0	c20026_10	question	choice-interaction	5	4				90fca094-d7d5-4c9d-87ff-802a724ec21e	c20026_10	2022-02-03 18:16:54				reproductive_system		reproductive_system	pharmacology	reproductive_system			comlex_l1		comlex_l1_qbank	medium	habitat	pharmacology	choice-interaction				reproductive_system	pharmacology				pharmacology	reproductive_system	
Atom	58d0d374-407d-4a92-8368-21ad74ce0ebb	c20028_10	question	choice-interaction	5	3				df4ba727-6d1b-4249-94c3-3f01e78b4954	c20028_10	2022-02-03 18:18:04							pharmacology	general_principles			comlex_l1		comlex_l1_qbank	medium	habitat	pharmacology	choice-interaction		general_principles			pharmacology			general_principles	pharmacology	general_principles	general_principles
Atom	19106376-1aca-44f4-a2df-751455bf3995	c20029_10	question	choice-interaction	5	1				ae5b4739-493f-48b6-8ee6-0d0730b77ae2	c20029_10	2022-02-03 18:17:42			nervous_system				pharmacology	nervous_system			comlex_l1		comlex_l1_qbank	hard	habitat	pharmacology	choice-interaction					pharmacology			nervous_system	pharmacology	nervous_system	nervous_system
Atom	7348e6da-a2bf-460e-88f1-bdf8c12d6fa2	c20031_10	question	choice-interaction	5	5				dc0be5dd-c362-42b5-8e28-8df6c99a09b7	c20031_10	2022-02-03 18:16:46			nervous_system				pharmacology	nervous_system			comlex_l1		comlex_l1_qbank	hard	habitat	pharmacology	choice-interaction					pharmacology			nervous_system	pharmacology	nervous_system	nervous_system
Atom	7e5d55c0-6119-40e4-813c-27ef70ec61c3	c20036_10	question	choice-interaction	5	3				618dfe7b-32df-4356-b81b-f9572910f8a5	c20036_10	2022-02-03 18:18:54			nervous_system				pharmacology	nervous_system			comlex_l1		comlex_l1_qbank	medium	habitat	pharmacology	choice-interaction					pharmacology			nervous_system	pharmacology	nervous_system	nervous_system
