content_item_id,content_item_name,corr_ans_respdf,item_submitted_timestamp
c1394ad6-94cd-48b0-86f6-d2636df49660,1133_10,5.0,2021-05-29 20:33:00
d6c9db0e-1fda-4194-b839-bbfe378608a0,c20026_10,4.0,2022-02-27 15:45:00
19106376-1aca-44f4-a2df-751455bf3995,c20029_10,1.0,2022-10-02 20:33:00
7e5d55c0-6119-40e4-813c-27ef70ec61c3,c20036_10,3.0,2022-10-02 20:33:00
306330b6-1c38-49e9-877d-8ea9c41da850,c20066m2,1.0,2022-09-02 01:08:00
d31adb64-edd0-4332-af52-3deea05de1c8,c20119m,3.0,2022-03-02 23:22:00
b03ff78f-3437-4425-8877-a5f987943bef,c20120_10,4.0,2022-08-02 02:21:00
93156728-2850-483f-83cd-96841a52dd63,c20123_10,2.0,2022-03-02 20:01:00
5e948a72-d196-474f-9de4-9d994df38b8e,c20129m_10,3.0,2022-09-02 21:47:00
34d29bbc-0b25-4314-8498-791df37b3ed3,c20134m_10,3.0,2022-04-02 05:26:00
b53c7b6f-c060-424a-b414-b66acc831ebd,c20141_10,1.0,2022-02-27 15:45:00
a645a975-ce14-4952-921b-aec229852667,c20158m_10,1.0,2022-03-02 20:13:00
81638838-2f71-4415-a102-13a2317c5d57,c20215m,1.0,2022-08-02 01:02:00
7db79ee7-3377-4683-9756-ce1511a95e1f,c20219m,3.0,2022-02-20 21:19:00
98b2ab70-f083-4716-920d-391a02324ff8,c20234_10,3.0,2022-02-14 22:47:00
0af1a798-5b74-4f10-9125-bf1695f42098,c20237m,3.0,2022-10-02 15:15:00
cf8b13e4-79ac-4419-af40-97d790e09888,c20241m,4.0,2022-02-14 22:47:00
e0d2afb2-0003-4740-86c8-b64359affdd1,c20247_10,2.0,2022-02-27 15:45:00
cba8e8c6-0ff0-4d90-899e-09320c4561b6,c20252m,1.0,2022-03-02 20:15:00
22e4370c-11c1-43cb-88a9-b7b38915d7a6,c20260_10,2.0,2022-02-22 03:34:00
7276220e-f87a-48e6-a0f8-1aa8bf83177c,c20264_10,4.0,2022-03-02 20:16:00
e2423d03-1382-4e31-b355-e177b28fc08b,c20272m,2.0,2022-04-02 22:11:00
bd0871b7-2aeb-4a57-bab5-00af412a0daf,c20283m_10,3.0,2022-09-02 21:43:00
0b8c6a73-d4ca-411b-af26-562f36195ad1,c20288m_10,3.0,2022-09-02 21:51:00
292c250e-1c7d-4b9d-b15b-56f3676f2a88,c20303_10,4.0,2022-02-27 15:45:00
8c23fb84-f855-4bb5-a267-bffe6e65844e,c20372_10,3.0,2022-02-22 02:54:00
08e5e7bc-37ea-455a-a18b-c810749bf8b0,c20380m,4.0,2022-02-22 02:54:00
